chr,start,end,gene,transcript,strand,Ensembl_ID,lnTPM
chr1,244571793,244615436,ADSS,NM_001126,-,ENSG00000035687,3.5275363037051735
chr1,48998526,50489626,AGBL4,NM_032785,-,ENSG00000186094,0.0
chr1,100315639,100389579,AGL,NM_000642,+,ENSG00000162688,2.5217206229107165
chr1,15898193,15911605,AGMAT,NM_024758,-,ENSG00000116771,4.787158353880808
chr1,955502,991499,AGRN,NM_198576,+,ENSG00000188157,4.248209486939542
chr1,230838271,230850336,AGT,NM_000029,-,ENSG00000135744,6.776256105714616
chr1,11796141,11810828,AGTRAP,NM_020350,+,ENSG00000177674,3.1826266921930797
chr1,247002401,247094726,AHCTF1,NM_015446,-,ENSG00000153207,3.8488701904228773
chr1,110527386,110566364,AHCYL1,NM_001242673,+,ENSG00000168710,4.0257087698319625
chr1,27860755,27930143,AHDC1,NM_001029882,-,ENSG00000126705,1.7884205679625405
chr1,222841354,222885864,AIDA,NM_022831,-,ENSG00000186063,3.8776385785663154
chr1,26648349,26680621,AIM1L,NM_001039775,-,ENSG00000176092,0.8458682675776092
chr1,159032274,159046647,AIM2,NM_004833,-,ENSG00000163568,0.0
chr1,4715104,4837854,AJAP1,NM_001042478,+,ENSG00000196581,0.0
chr1,33476825,33502512,AK2,NM_001625,-,ENSG00000004455,5.029653299932018
chr1,65613231,65697828,AK4,NM_203464,+,ENSG00000162433,4.756345013785209
chr1,77747661,78025654,AK5,NM_174858,+,ENSG00000154027,0.0
chr1,39456915,39471737,AKIRIN1,NM_001136275,+,ENSG00000174574,4.911698546236233
chr1,109358519,109400864,AKNAD1,NR_049760,-,ENSG00000162641,0.0
chr1,46016454,46035723,AKR1A1,NM_001202413,+,ENSG00000117448,4.900746020558973
chr1,19629201,19638640,AKR7A2,NM_003689,-,ENSG00000053371,4.03175968703048
chr1,19609056,19615280,AKR7A3,NM_012067,-,ENSG00000162482,0.6312717768418578
chr1,243663020,244006886,AKT3,NM_001206729,-,ENSG00000117020,0.04879016416943205
chr1,19197923,19229293,ALDH4A1,NM_003748,-,ENSG00000159423,4.2801323269925415
chr1,165631448,165667900,ALDH9A1,NM_000696,-,ENSG00000143149,3.3167282250357055
chr1,95448278,95538507,ALG14,NM_144988,-,ENSG00000172339,1.81319474994812
chr1,63833260,63904233,ALG6,NM_013339,+,ENSG00000088035,2.1102132003465894
chr1,21835857,21904905,ALPL,NM_000478,+,ENSG00000162551,0.04879016416943205
chr1,110602996,110613322,ALX3,NM_006492,-,ENSG00000156150,0.04879016416943205
chr1,110049445,110052336,AMIGO1,NM_020703,-,ENSG00000181754,0.7561219797213337
chr1,115215719,115238239,AMPD1,NM_001172626,-,ENSG00000116748,0.0
chr1,110162434,110174677,AMPD2,NM_139156,+,ENSG00000116337,4.191320021345486
chr1,104198140,104207173,AMY1A,NM_001008221,+,ENSG00000237763,0.0
chr1,104198324,104207172,AMY1B,NM_001008218,+,ENSG00000174876,0.0
chr1,104230040,104238911,AMY1C,NM_001008219,-,ENSG00000187733,0.0
chr1,104159998,104168400,AMY2A,NM_000699,+,ENSG00000243480,0.0
chr1,104097321,104122149,AMY2B,NM_020978,+,ENSG00000240038,0.4252677354043441
chr1,213165523,213189168,ANGEL2,NM_144567,-,ENSG00000174606,2.7917784166329227
chr1,178818669,178840215,ANGPTL1,NM_004673,-,ENSG00000116194,1.1662709371419244
chr1,63063186,63071180,ANGPTL3,NM_014495,+,ENSG00000132855,0.4574248470388755
chr1,11249397,11256038,ANGPTL7,NM_021146,+,ENSG00000171819,0.0
chr1,70724684,70820417,ANKRD13C,NM_030816,-,ENSG00000118454,2.485739636091892
chr1,145470507,145475647,ANKRD34A,NM_001039888,+,ENSG00000181039,-inf
chr1,145549208,145568526,ANKRD35,NM_144698,+,ENSG00000198483,0.058268908123975824
chr1,173577474,173639001,ANKRD45,NM_198493,-,ENSG00000183831,0.0
chr1,1353799,1356824,ANKRD65,NM_001145210,-,ENSG00000235098,3.2240623515555007
chr1,150190716,150208504,ANP32E,NM_001136478,-,ENSG00000143401,4.061993532004442
chr1,150954498,150968114,ANXA9,NM_003568,+,ENSG00000143412,3.0633909220278057
chr1,114437370,114447741,AP4B1,NM_001253853,-,ENSG00000134262,2.377692565480851
chr1,159557615,159558661,APCS,NM_001639,+,ENSG00000132703,0.0
chr1,150237798,150241609,APH1A,NM_016022,-,ENSG00000117362,4.459797532972339
chr1,10490158,10512060,APITD1-CORT,NM_199006,+,N/A,-inf
chr1,10490158,10502872,APITD1,NM_199294,+,ENSG00000175279,3.1135153092103742
chr1,156561557,156564091,APOA1BP,NM_144772,+,ENSG00000163382,3.9388596593817056
chr1,161192082,161193418,APOA2,NM_001643,-,ENSG00000158874,8.514222784121388
chr1,183615410,183622448,APOBEC4,NM_203454,-,ENSG00000173627,0.0
chr1,154293591,154297801,AQP10,NM_080429,+,N/A,-inf
chr1,228270360,228286913,ARF1,NM_001024226,+,ENSG00000143761,5.520700628915837
chr1,94634462,94703307,ARHGAP29,NM_004815,-,ENSG00000137962,2.519308076505333
chr1,161016731,161039760,ARHGAP30,NM_001025598,-,ENSG00000186517,0.06765864847381486
chr1,17866329,18024370,ARHGEF10L,NM_018125,+,ENSG00000074964,3.6410013738694724
chr1,156904631,157015162,ARHGEF11,NM_014784,-,ENSG00000132694,2.8925915146344776
chr1,3371146,3397677,ARHGEF16,NM_014448,+,ENSG00000130762,2.9428587839469227
chr1,16524598,16539104,ARHGEF19,NM_153213,-,ENSG00000142632,1.1969481893889715
chr1,155916629,155948336,ARHGEF2,NM_001162383,-,ENSG00000116584,2.9407479652212314
chr1,27022521,27108601,ARID1A,NM_006015,+,ENSG00000117713,3.7386215460087504
chr1,235330209,235491532,ARID4B,NM_016374,-,ENSG00000054267,2.6602595372658615
chr1,202102531,202113871,ARL8A,NM_138795,-,ENSG00000143862,1.1537315878891892
chr1,150782180,150849244,ARNT,NM_178427,-,ENSG00000143437,3.0492730404820207
chr1,183595327,183605076,ARPC5,NM_001270439,-,ENSG00000162704,4.463260939805398
chr1,44398991,44402912,ARTN,NM_001136215,+,ENSG00000117407,0.4382549309311553
chr1,231114822,231136479,ARV1,NM_022786,+,ENSG00000173409,2.5680215564985067
chr1,23755055,23810750,ASAP3,NM_001143778,-,ENSG00000088280,3.4094961844768505
chr1,76384557,76398116,ASB17,NR_026546,-,ENSG00000154007,0.0
chr1,155305051,155532324,ASH1L,NM_018489,-,ENSG00000116539,2.3832429960115
chr1,197053256,197115824,ASPM,NM_018136,-,ENSG00000066279,3.040705639196722
chr1,176830202,177134024,ASTN1,NM_004319,-,ENSG00000152092,0.0
chr1,1447522,1470067,ATAD3A,NM_018188,+,ENSG00000197785,3.878259375275337
chr1,1407163,1431582,ATAD3B,NM_031921,+,ENSG00000160072,3.521643534738023
chr1,1385068,1405538,ATAD3C,NM_001039211,+,ENSG00000215915,1.534714366238164
chr1,212738675,212794119,ATF3,NM_001030287,+,ENSG00000162772,1.891604804197771
chr1,161736033,161933860,ATF6,NM_007348,+,ENSG00000118217,2.5006159434931803
chr1,63249776,63330941,ATG4C,NM_032852,+,ENSG00000125703,2.402430427963762
chr1,17312452,17338423,ATP13A2,NM_001141973,-,ENSG00000159363,3.210440346047099
chr1,116915794,116947396,ATP1A1,NM_000701,+,ENSG00000163399,6.1143898939452805
chr1,160085519,160113374,ATP1A2,NM_000702,+,ENSG00000018625,0.0
chr1,160121351,160156767,ATP1A4,NM_144699,+,ENSG00000132681,0.0
chr1,169075946,169101960,ATP1B1,NM_001677,+,ENSG00000143153,5.228860101532815
chr1,203595914,203713209,ATP2B4,NM_001684,+,ENSG00000058668,2.5494451709255714
chr1,111991742,112004525,ATP5F1,NM_001688,+,ENSG00000116459,5.751015872137382
chr1,44440601,44443972,ATP6V0B,NM_001039457,+,ENSG00000117410,4.607267984070237
chr1,198492351,198510075,ATP6V1G3,NM_133262,-,ENSG00000151418,0.0
chr1,154298035,154310322,ATP8B2,NM_001005855,+,ENSG00000143515,3.2156706939192525
chr1,47137496,47139256,ATPAF1-AS1,NM_001145474,+,N/A,-inf
chr1,47100710,47134099,ATPAF1,NM_001042546,-,ENSG00000123472,3.9583339082913964
chr1,28562601,28564616,ATPIF1,NM_016311,+,ENSG00000130770,4.671706709788335
chr1,110026560,110035420,ATXN7L2,NM_153340,+,ENSG00000162650,1.4951487660319727
chr1,1309109,1310818,AURKAIP1,NM_017900,-,ENSG00000175756,4.665606554791922
chr1,206224282,206231482,AVPR1B,NM_000707,+,ENSG00000198049,0.0
chr1,179334854,179523870,AXDND1,NM_144696,+,ENSG00000162779,0.3148107398400336
chr1,235610532,235667781,B3GALNT2,NM_152490,-,ENSG00000162885,2.7997173896280336
chr1,193147859,193155743,B3GALT2,NM_003783,-,ENSG00000162630,0.0
chr1,1167628,1170420,B3GALT6,NM_080605,+,ENSG00000176022,2.4807312783775197
chr1,44444873,44456843,B4GALT2,NM_003780,+,ENSG00000117411,4.264649766520309
chr1,161141099,161147758,B4GALT3,NM_001199874,-,ENSG00000158850,3.5650154668915506
chr1,32192717,32229648,BAI2,NM_001703,-,ENSG00000121753,0.058268908123975824
chr1,91177578,91182794,BARHL2,NM_020063,-,ENSG00000143032,0.0
chr1,212859758,212873327,BATF3,NM_018664,-,ENSG00000123685,0.0
chr1,156611739,156623264,BCAN,NM_198427,+,ENSG00000132692,0.0
chr1,94027342,94312706,BCAR3,NM_001261408,-,ENSG00000137936,1.451613827240533
chr1,115110180,115124265,BCAS2,NM_005872,-,ENSG00000116752,3.605226069116683
chr1,85731459,85742587,BCL10,NM_003921,-,ENSG00000142867,2.138889000323256
chr1,114419435,114430169,BCL2L15,NM_001010922,-,ENSG00000188761,0.01980262729617973
chr1,147013181,147098015,BCL9,NM_004326,+,ENSG00000116128,2.422144328051685
chr1,49193539,49242547,BEND5,NM_024603,-,ENSG00000162373,0.0
chr1,45249256,45253426,BEST4,NM_153274,-,N/A,-inf
chr1,156211950,156213123,BGLAP,NM_199173,+,ENSG00000242252,0.4946962418361071
chr1,169337193,169365780,BLZF1,NM_003666,+,ENSG00000117475,2.2741856184723477
chr1,39957317,39995541,BMP8A,NM_181809,+,ENSG00000183682,0.0
chr1,40223902,40254533,BMP8B,NM_001720,-,ENSG00000116985,0.41871033485818504
chr1,151009028,151020076,BNIPL,NM_138278,+,ENSG00000163141,0.6205764877251098
chr1,149871154,149872348,BOLA1,NM_016074,+,ENSG00000178096,1.3962446919730587
chr1,220230823,220263191,BPNT1,NM_006085,-,ENSG00000162813,3.502248625731883
chr1,92414927,92479985,BRDT,NM_001242808,+,ENSG00000137948,0.0
chr1,222885905,222906106,BROX,NM_144695,+,ENSG00000162819,2.827905162910489
chr1,167885912,167906307,BRP44,NM_015415,-,N/A,-inf
chr1,32830704,32860062,BSDC1,NM_018045,-,ENSG00000160058,3.4127965175055075
chr1,55464616,55474465,BSND,NM_057176,+,ENSG00000162399,0.0
chr1,45274153,45279801,BTBD19,NM_001136537,+,ENSG00000222009,1.5665304114228238
chr1,92545861,92613401,BTBD8,NM_183242,+,N/A,-inf
chr1,52521856,52556388,BTF3L4,NM_152265,+,ENSG00000134717,4.006787581872569
chr1,203274663,203278729,BTG2,NM_006763,+,ENSG00000159388,3.101442727976105
chr1,244515936,244552393,C1orf100,NM_001012970,+,ENSG00000173728,0.0
chr1,244624672,244803662,C1orf101,NM_173807,+,ENSG00000179397,0.06765864847381486
chr1,172389827,172437969,C1orf105,NM_139240,+,ENSG00000180999,0.5933268452777344
chr1,200860626,200884864,C1orf106,NM_018265,+,ENSG00000163362,2.6411978941143697
chr1,38147241,38156192,C1orf109,NM_017850,-,N/A,-inf
chr1,162824086,162838605,C1orf110,NM_178550,-,ENSG00000185860,0.0
chr1,162343514,162346644,C1orf111,NM_182581,-,ENSG00000171722,0.0
chr1,169764549,169822229,C1orf112,NM_018186,+,ENSG00000000460,2.93651291389402
chr1,169364113,169396670,C1orf114,NM_021179,-,N/A,-inf
chr1,220863627,220872499,C1orf115,NM_024709,+,ENSG00000162817,4.288265254859407
chr1,207191865,207206101,C1orf116,NM_023938,-,ENSG00000182795,0.85015092936961
chr1,38273472,38275126,C1orf122,NM_001142726,+,ENSG00000197982,3.2445435716167785
chr1,53679771,53686289,C1orf123,NM_017887,-,ENSG00000162384,3.5720646995221013
chr1,11006529,11042094,C1orf127,NM_001170754,-,ENSG00000175262,0.0
chr1,170904611,171033906,C1orf129,NM_001163629,+,N/A,-inf
chr1,24882566,24935818,C1orf130,NM_001010980,+,N/A,-inf
chr1,231359508,231376924,C1orf131,NM_152379,-,ENSG00000143633,3.4882920885130893
chr1,26160496,26185848,C1orf135,NM_024037,-,N/A,-inf
chr1,67557858,67594220,C1orf141,NM_001013674,-,ENSG00000203963,0.0
chr1,16693582,16724640,C1orf144,NM_001114600,+,N/A,-inf
chr1,92683572,92711367,C1orf146,NM_001012425,+,ENSG00000203910,0.0
chr1,247712450,247739848,C1orf150,NM_145278,+,N/A,-inf
chr1,19923470,19984949,C1orf151-NBL1,NM_001204088,+,N/A,-inf
chr1,12806162,12821102,C1orf158,NM_152290,+,ENSG00000157330,0.0
chr1,1017197,1051736,C1orf159,NM_017891,-,ENSG00000131591,2.0476928433652555
chr1,112016603,112021134,C1orf162,NM_174896,+,ENSG00000143110,0.30748469974796055
chr1,57184476,57285369,C1orf168,NM_001004303,-,ENSG00000187889,1.5151272329628591
chr1,27276046,27286901,C1orf172,NM_152365,-,ENSG00000175707,1.1474024528375417
chr1,75033794,75139422,C1orf173,NM_001002912,-,ENSG00000178965,0.0
chr1,3805696,3816857,C1orf174,NM_207356,-,ENSG00000198912,3.1307001339644756
chr1,55271735,55307937,C1orf177,NM_152607,+,ENSG00000162398,0.0
chr1,156307104,156316785,C1orf182,NM_144627,+,N/A,-inf
chr1,51567905,51613754,C1orf185,NM_001136508,+,ENSG00000204006,0.0
chr1,206238871,206288647,C1orf186,NM_001007544,-,N/A,-inf
chr1,11751780,11780336,C1orf187,NM_198545,+,N/A,-inf
chr1,154171847,154178809,C1orf189,NM_001010979,-,ENSG00000163263,0.0
chr1,161334520,161337664,C1orf192,NM_001013625,-,ENSG00000188931,0.0
chr1,109648572,109656479,C1orf194,NM_001122961,-,ENSG00000179902,0.0
chr1,230972864,231005335,C1orf198,NM_001136494,-,ENSG00000119280,2.9381031607173544
chr1,24683488,24741587,C1orf201,NM_001199012,-,N/A,-inf
chr1,159804263,159825137,C1orf204,NM_001134233,-,N/A,-inf
chr1,184356149,184598155,C1orf21,NM_030806,+,ENSG00000116667,0.17395330712343798
chr1,43747556,43751288,C1orf210,NM_001164829,-,ENSG00000253313,0.5653138090500605
chr1,35315962,35325417,C1orf212,NM_138428,-,N/A,-inf
chr1,36179476,36184790,C1orf216,NM_152374,-,ENSG00000142686,0.9707789171582247
chr1,162348695,162353501,C1orf226,NM_001135240,+,ENSG00000239887,2.3398808777377424
chr1,213003484,213020991,C1orf227,NM_001024601,-,ENSG00000185523,0.43178241642553783
chr1,45140393,45191263,C1orf228,NM_001145636,+,ENSG00000198520,0.3576744442718159
chr1,247273461,247275719,C1orf229,NM_207401,-,N/A,-inf
chr1,186344889,186390503,C1orf27,NM_001164246,+,ENSG00000157181,2.6837575085331657
chr1,234509213,234519795,C1orf31,NM_001206641,+,N/A,-inf
chr1,228288427,228291022,C1orf35,NM_024319,-,ENSG00000143793,2.851284369188118
chr1,154179182,154193273,C1orf43,NM_015449,-,ENSG00000143612,4.898436636733773
chr1,43232915,43241413,C1orf50,NM_024097,+,ENSG00000164008,2.5922651681085
chr1,150255228,150259501,C1orf51,NM_144697,+,ENSG00000159208,0.1570037488096647
chr1,85715636,85725355,C1orf52,NR_024113,-,ENSG00000162642,3.001217203784561
chr1,197871681,197876497,C1orf53,NM_001024594,+,ENSG00000203724,2.0438143640366846
chr1,150245182,150253335,C1orf54,NM_024579,+,ENSG00000118292,0.29266961396282004
chr1,151020258,151023871,C1orf56,NM_017860,+,ENSG00000143443,1.205970806988609
chr1,156374054,156399184,C1orf61,NM_006365,-,N/A,-inf
chr1,25568739,25573985,C1orf63,NM_020317,-,ENSG00000117616,3.538347219809389
chr1,16330730,16333184,C1orf64,NM_178840,+,ENSG00000183888,1.3887912413184778
chr1,223566714,223568812,C1orf65,NM_152610,+,ENSG00000178395,0.0
chr1,152691997,152692905,C1orf68,NM_001024679,+,ENSG00000198854,0.0
chr1,209955661,209957890,C1orf74,NM_152485,-,ENSG00000162757,0.26236426446749106
chr1,156262477,156265480,C1orf85,NM_144580,-,ENSG00000198715,4.078553876315777
chr1,2120987,2144159,C1orf86,NR_046424,-,ENSG00000162585,3.727619282429867
chr1,60456065,60539442,C1orf87,NM_152377,-,ENSG00000162598,0.0
chr1,111889194,111895639,C1orf88,NM_181643,+,N/A,-inf
chr1,34632623,34684731,C1orf94,NM_032884,+,ENSG00000142698,0.0
chr1,226736500,226796915,C1orf95,NM_001003665,+,ENSG00000203685,0.03922071315328133
chr1,22963117,22966175,C1QA,NM_015991,+,ENSG00000173372,0.0
chr1,22979681,22988029,C1QB,NM_000491,+,ENSG00000173369,0.0
chr1,22970117,22974603,C1QC,NM_001114101,+,ENSG00000159189,0.0
chr1,151810338,151813033,C2CD4D,NM_001136003,-,ENSG00000225556,0.0
chr1,207277606,207318317,C4BPA,NM_000715,+,ENSG00000123838,3.546163151912341
chr1,207262211,207273337,C4BPB,NM_001017365,+,N/A,-inf
chr1,57320442,57383894,C8A,NM_000562,+,ENSG00000157131,2.4714836294558595
chr1,57394882,57431688,C8B,NM_000066,-,ENSG00000021852,2.0438143640366846
chr1,150230217,150237480,CA14,NM_012113,+,ENSG00000118298,1.1969481893889715
chr1,9005892,9034503,CA6,NM_001270500,+,ENSG00000131686,0.0
chr1,64936475,65158741,CACHD1,NM_020925,+,ENSG00000158966,0.1310282624064042
chr1,181452685,181775921,CACNA1E,NM_000721,+,ENSG00000198216,0.0
chr1,201008639,201081694,CACNA1S,NM_000069,-,ENSG00000081248,0.0
chr1,174968570,174981163,CACYBP,NM_001007214,+,ENSG00000116161,4.8794630213208565
chr1,159141376,159172932,CADM3,NM_021189,+,ENSG00000162706,0.0
chr1,1846265,1848733,CALML6,NM_138705,+,N/A,-inf
chr1,209757044,209787284,CAMK1G,NM_020439,+,ENSG00000008118,0.0
chr1,20808883,20812728,CAMK2N1,NM_018584,-,ENSG00000162545,4.638218040034292
chr1,200708685,200829831,CAMSAP2,NM_203459,+,ENSG00000118200,2.0769384114617173
chr1,6845383,7829766,CAMTA1,NM_015215,+,ENSG00000171735,3.8905950580145254
chr1,40506254,40538321,CAP1,NM_006367,+,ENSG00000131236,4.948121388707014
chr1,223889294,223963720,CAPN2,NM_001146068,+,ENSG00000162909,2.0162354657760435
chr1,223714971,223853436,CAPN8,NM_001143962,-,ENSG00000203697,0.1906203596086497
chr1,230883129,230937518,CAPN9,NM_006615,+,ENSG00000135773,0.0
chr1,113162074,113214241,CAPZA1,NM_006135,+,ENSG00000116489,4.46843366241462
chr1,19665266,19812066,CAPZB,NM_001206540,-,ENSG00000077549,5.303603370977274
chr1,15818768,15851285,CASP9,NM_032996,-,ENSG00000132906,2.2512917986064953
chr1,160160284,160171676,CASQ1,NM_001231,+,ENSG00000143318,0.1310282624064042
chr1,116242625,116311426,CASQ2,NM_001232,-,ENSG00000118729,0.0
chr1,10696665,10856707,CASZ1,NM_001079843,-,ENSG00000130940,1.706564623164823
chr1,26517118,26529033,CATSPER4,NM_198137,+,ENSG00000188782,0.0
chr1,52816264,52831877,CC2D1B,NM_032449,-,ENSG00000154222,2.7750856024383683
chr1,89401455,89458643,CCBL2,NM_001008661,-,ENSG00000137944,3.1570004211501135
chr1,46085715,46089731,CCDC17,NM_001114938,-,ENSG00000159588,0.35065687161316933
chr1,93646280,93744287,CCDC18,NM_206886,+,ENSG00000122483,2.3978952727983707
chr1,159842153,159869906,CCDC19,NM_012337,-,ENSG00000213085,0.0
chr1,43272722,43283059,CCDC23,NM_199342,-,ENSG00000177868,3.510350695558678
chr1,44457279,44462198,CCDC24,NM_152499,+,ENSG00000159214,1.172482137234565
chr1,3668964,3688209,CCDC27,NM_152492,+,ENSG00000162592,0.0
chr1,32666201,32670991,CCDC28B,NM_024296,+,ENSG00000160050,1.1151415906193203
chr1,43000559,43120335,CCDC30,NM_001080850,+,ENSG00000186409,0.7419373447293773
chr1,1321090,1334718,CCNL2,NM_030937,-,ENSG00000221978,4.889295942237095
chr1,229456751,229478688,CCSAP,NM_145257,-,ENSG00000154429,2.0320878452963655
chr1,156278751,156308206,CCT3,NR_036565,-,ENSG00000163468,5.913989373828571
chr1,117544371,117579167,CD101,NM_001256111,+,ENSG00000134256,0.02955880224154443
chr1,145695797,145715565,CD160,NM_007053,-,ENSG00000117281,0.06765864847381486
chr1,27705595,27709805,CD164L2,NM_207397,-,ENSG00000174950,0.0
chr1,158223926,158228058,CD1A,NM_001763,+,N/A,-inf
chr1,158297739,158301321,CD1B,NM_001764,-,N/A,-inf
chr1,158259562,158264564,CD1C,NM_001765,+,N/A,-inf
chr1,158149736,158156216,CD1D,NM_001766,+,ENSG00000158473,0.0
chr1,158323485,158327343,CD1E,NM_001185110,+,N/A,-inf
chr1,117297085,117311851,CD2,NM_001767,+,ENSG00000116824,0.0
chr1,160799949,160832692,CD244,NM_001166664,-,ENSG00000122223,0.23111172096338664
chr1,167399876,167487847,CD247,NM_000734,-,ENSG00000198821,0.1823215567939546
chr1,208059882,208084683,CD34,NM_001773,-,ENSG00000174059,0.0
chr1,207925382,207968861,CD46,NM_002389,+,ENSG00000117335,5.050240548688615
chr1,160650211,160681641,CD48,NM_001256030,-,ENSG00000117091,0.0
chr1,26644410,26647014,CD52,NM_001803,+,N/A,-inf
chr1,111413820,111442558,CD53,NM_001040033,+,ENSG00000143119,0.0
chr1,207494816,207534311,CD55,NM_000574,+,ENSG00000196352,2.255493485460195
chr1,117057155,117113715,CD58,NR_026665,-,N/A,-inf
chr1,157800703,157811634,CD5L,NM_005894,-,ENSG00000073754,0.0
chr1,160510883,160549306,CD84,NM_003874,-,ENSG00000066294,0.0
chr1,20915443,20945400,CDA,NM_001785,+,ENSG00000158825,0.5877866649021191
chr1,100818022,100985833,CDC14A,NM_003672,+,ENSG00000079335,1.4906543764441333
chr1,43824625,43828873,CDC20,NM_001255,+,ENSG00000117399,4.635990328327978
chr1,22379119,22417296,CDC42,NM_044472,+,ENSG00000070831,4.965916829296877
chr1,227177565,227505826,CDC42BPA,NM_014826,-,ENSG00000143776,2.28949985344539
chr1,151023446,151032125,CDC42SE1,NM_020239,-,ENSG00000197622,2.7806808921371178
chr1,91966403,91991321,CDC7,NM_003503,+,ENSG00000097046,2.5128460184772416
chr1,193091087,193223942,CDC73,NM_024529,+,ENSG00000134371,2.847232265235547
chr1,38158072,38175391,CDCA8,NM_018101,+,ENSG00000134690,3.6109179126442243
chr1,54604667,54619443,CDCP2,NM_201546,-,ENSG00000157211,0.0
chr1,1634169,1655791,CDK11A,NM_024011,-,ENSG00000008128,3.3207101307494686
chr1,1571099,1655775,CDK11B,NM_033488,-,N/A,-inf
chr1,205473683,205501921,CDK18,NM_212503,+,ENSG00000117266,2.803360380906535
chr1,51434366,51440306,CDKN2C,NM_001262,+,ENSG00000123080,2.8425810940598164
chr1,15783222,15798586,CELA2A,NM_033440,+,ENSG00000142615,0.0
chr1,15802595,15817895,CELA2B,NM_015849,+,ENSG00000215704,0.0
chr1,22328148,22339035,CELA3A,NM_005747,+,ENSG00000142789,0.0
chr1,22303417,22315847,CELA3B,NM_007352,+,ENSG00000219073,0.0
chr1,151672533,151689290,CELF3,NM_007185,-,ENSG00000159409,0.1570037488096647
chr1,109792640,109818378,CELSR2,NM_001408,+,ENSG00000143126,2.4807312783775197
chr1,214776531,214837914,CENPF,NM_016343,+,ENSG00000117724,4.286203823496544
chr1,173768687,173793777,CENPL,NM_033319,-,ENSG00000120334,2.225704048658088
chr1,3728644,3773797,CEP104,NM_014704,-,ENSG00000116198,3.39484390768998
chr1,243287729,243418708,CEP170,NM_001042405,-,ENSG00000143702,3.086486636822455
chr1,179923907,180084015,CEP350,NM_014810,+,ENSG00000135837,2.667922410011431
chr1,26560692,26605299,CEP85,NM_022778,+,ENSG00000130695,2.9947317732204075
chr1,111682248,111727724,CEPT1,NM_001007794,+,ENSG00000134255,3.342154841028372
chr1,150937648,150947479,CERS2,NM_022075,-,ENSG00000143418,5.538711271268774
chr1,196621007,196670695,CFH,NM_001014975,+,ENSG00000000971,0.0
chr1,196788860,196801319,CFHR1,NM_002113,+,N/A,-inf
chr1,196912933,196928356,CFHR2,NM_005666,+,N/A,-inf
chr1,196743929,196763203,CFHR3,NM_001166624,+,N/A,-inf
chr1,196857143,196887843,CFHR4,NM_001201550,+,N/A,-inf
chr1,196946666,196978803,CFHR5,NM_030787,+,N/A,-inf
chr1,151483861,151511167,CGN,NM_020770,+,ENSG00000143375,0.8197798314933114
chr1,146714290,146767447,CHD1L,NM_004284,+,ENSG00000131778,4.338335946049148
chr1,6161846,6240194,CHD5,NM_015557,-,ENSG00000116254,0.10436001532424286
chr1,203148058,203155922,CHI3L1,NM_001276,-,ENSG00000133048,0.0
chr1,111770280,111786062,CHI3L2,NM_001025197,+,N/A,-inf
